database_identifier,Succinic acid,group_type
C00305,0.5712916384434703,Case
C00310,0.095722029300401,Case
C00315,-0.0240119722067605,Case
C00317,0.039362341500038,Case
C00319,0.1507953543001007,Case
C00325,0.2556995737133114,Case
C00326,0.2101589232254217,Case
C00331,0.5685667868336426,Case
C00335,0.1760239064849778,Case
C00336,0.2861041116535546,Case
C00337,0.7430035645443103,Case
C00340,0.3200120823277532,Case
C00341,-0.2459146507698738,Case
C00347,-0.1197005583728331,Case
C00354,0.1932896807329256,Case
C00355,0.2501249866187618,Case
C00356,0.5984757872924896,Case
C00359,0.2771754197131746,Case
C00360,-0.0186244181389711,Case
C00364,0.1611198644223377,Case
C00366,0.1447276002316214,Case
C00367,0.0691291508743241,Case
C00377,0.5739654772384682,Case
C00383,0.0115226377266972,Case
C00387,0.0424569395786646,Case
C00392,-0.2659166595282892,Case
C00393,0.2486204123340487,Case
C00395,0.2937529090363174,Case
C00397,0.0100136861348027,Case
C00400,0.605853784053376,Case
C00401,0.0679141173145611,Case
C00405,0.0331644163452389,Case
C00406,0.429183301838851,Case
C00407,0.3840864633273777,Case
C00410,0.2600701163150788,Case
C00411,0.4244310894366194,Case
C00413,0.258915175556672,Case
C00420,0.0551363665362256,Case
C00422,0.2263648837713535,Case
C00425,0.1986274972730975,Case
C00431,0.3224122802344455,Case
C00432,0.2531486524375473,Case
C00433,0.4063174390767322,Case
C00436,0.0911193945167508,Case
C00442,0.076604773047161,Case
C00445,0.4683497624110316,Case
C00447,0.1994363426074876,Case
C00451,0.2099740388587871,Case
C00454,0.3237817610362093,Case
C00456,0.1798838071950801,Case
C00459,0.2779744802210647,Case
C00460,-0.0372723590797914,Case
C00461,0.2967993865379971,Case
C00462,0.2570799385566925,Case
C00464,0.2582277570381077,Case
C00467,0.109015094089511,Case
C00474,-0.1527284020269353,Case
C00477,-0.1063698714424111,Case
C00480,0.1035630247702525,Case
C00481,0.2106522154042479,Case
C00482,0.1177556279258616,Case
C00486,0.1893065147695062,Case
C00491,0.3258588160150838,Case
C00493,0.4735687783096468,Case
C00494,0.3984355188278407,Case
C00497,-0.2483994828273905,Case
C00504,0.3191705224042529,Case
C00505,0.3110016777802639,Case
C00510,0.0526011846006439,Case
C00513,-0.0332863459804444,Case
C00514,0.2013144098731237,Case
C00518,0.1251882974460703,Case
C00530,0.1252814940569475,Case
C00538,0.7022096880194268,Case
C00540,0.3775640995643272,Case
C00541,-0.1017431430605212,Case
C00543,0.2474531103850854,Case
C00544,0.6835978406699931,Case
C00545,0.1769406733365701,Case
C00546,0.2657058847838067,Case
C00548,0.5953160663463415,Case
C00550,0.4996569101153666,Case
C00556,0.6974569471185033,Case
C00559,0.3816426360569587,Case
C00561,0.785524327502196,Case
C00563,0.4527003366366436,Case
C00564,0.1563531420641473,Case
C00566,0.1019907525720636,Case
C00567,0.3733197623839674,Case
C00570,0.490045010129145,Case
C00571,0.3814246141196939,Case
C00574,0.4177908862722141,Case
C00575,0.7319684311130576,Case
C00576,0.0162632184076464,Case
C00578,0.194902439917691,Case
C00584,-0.0276279585427027,Case
C00585,0.2321218061008375,Case
C00586,0.1689462337722337,Case
C00587,0.5050865307381761,Case
C00588,0.0695151821341414,Case
C00589,-0.006209859081159,Case
C00590,0.1922097590771875,Case
C00591,0.0643462327848112,Case
C00593,0.3756418752303647,Case
C00595,0.1812775353553365,Case
C00597,0.7846781445667232,Case
C00599,0.264415766389778,Case
C00600,0.2598850013233585,Case
C00602,0.3236686121794433,Case
C00610,0.3254211185386751,Case
C00611,0.3318382657399931,Case
C00612,0.3063151328029405,Case
C00614,0.6985408692791034,Case
C00626,0.3921854684483949,Case
C00629,0.5316860145204861,Case
C00630,0.2758564386390386,Case
C00634,0.4019150479466333,Case
C00638,0.5289639501860367,Case
C00644,0.5814337029447548,Case
C00645,0.1343509490820793,Case
C00653,0.5036894981685422,Case
C00655,-0.3184285211960961,Case
C00661,0.4917274996805189,Case
C00665,0.0665433350149762,Case
C00695,0.0592961947526463,Case
C00698,0.0344559764610984,Case
C00701,-0.5485395225534526,Case
C00703,0.1717711300574435,Case
C00709,0.4758331457383767,Case
C00712,0.6587213211902886,Case
C00713,-0.143803540554317,Case
C00724,0.5274146974315337,Case
C00727,0.4365881565760995,Case
C00737,0.4582768277858752,Case
C00744,0.3343877500032943,Case
C00751,0.1955003172225325,Case
C00753,0.3642052357204812,Case
C00761,0.8105758920298605,Case
C00766,0.1311721679593522,Case
C00768,-0.2250599560722458,Case
C00773,0.022033034283171,Case
C00774,0.3975237920501552,Case
C00785,0.0242900294080702,Case
C00786,-0.0932235974150928,Case
C00787,0.0894174737319104,Case
C00792,0.04592786938757,Case
C00793,0.1336646432085023,Case
C00818,0.2034894422031036,Case
C00819,0.8658872427496437,Case
C00821,0.4709557611780244,Case
C00822,0.1340840241005084,Case
C00844,0.5839472261314705,Case
C00845,0.1851342992671566,Case
C00855,0.1401355226604259,Case
C00858,0.340002589278166,Case
C00861,0.0745220820114462,Case
C00862,-0.1027024431783705,Case
C00864,0.0261037480881076,Case
C00865,0.1196474423210842,Case
C00866,0.0720222396702543,Case
C00867,-0.3775545824590898,Case
C00871,0.7694451989527721,Case
C00872,0.0324057373385446,Case
C00873,0.1957743611971354,Case
C00875,0.0630215209794495,Case
C00876,0.1440191364488796,Case
C00878,0.0240779901803645,Case
C00879,-0.1215651171223603,Case
C00880,0.0959265674423447,Case
C00883,0.3040795786780036,Case
C00884,0.399519401398072,Case
C00886,0.4059992909697474,Case
C00893,-0.1901629209250582,Case
C00900,-0.4123231471430753,Case
C00909,0.235974565000482,Case
C00913,-0.3337962092163444,Case
C00915,-0.0382761707765266,Case
C00920,-0.311943950266243,Case
C00923,0.1791694997569879,Case
C00924,-0.1766904313282538,Case
C00927,0.2273979048207823,Case
C00928,0.31166457673604,Case
